,date,node_id,sensor_name,no_wrk_aux,no2_wrk_aux,o3_wrk_aux,temp,rh
0,2024-08-25 03:00:00-04:00,250,Myron J. Francis Elementary,0.025607000000000046,0.02121833333333334,0.03570916666666668,21.080718666666666,68.0849555
1,2024-08-25 04:00:00-04:00,250,Myron J. Francis Elementary,0.026372833333333345,0.020058833333333304,0.03047999999999995,20.360104166666666,70.527362
2,2024-08-25 05:00:00-04:00,250,Myron J. Francis Elementary,0.028451000000000004,0.017949500000000007,0.027704666666666655,19.895159166666666,68.53125166666666
3,2024-08-25 06:00:00-04:00,250,Myron J. Francis Elementary,0.030416999999999972,0.017395666666666698,0.02725666666666665,19.978187833333333,67.8001365
4,2024-08-25 07:00:00-04:00,250,Myron J. Francis Elementary,0.03525016666666664,0.01276900000000003,0.02348383333333337,22.637096,59.19708833333333
5,2024-08-25 08:00:00-04:00,250,Myron J. Francis Elementary,0.053670666666666644,-0.00557249999999998,0.005909333333333322,31.243722666666667,38.270633
6,2024-08-25 09:00:00-04:00,250,Myron J. Francis Elementary,0.06974899999999995,-0.017698500000000006,-0.0008281666666666299,37.94607583333333,26.463906
7,2024-08-25 10:00:00-04:00,250,Myron J. Francis Elementary,0.06149483333333333,-0.010706999999999967,0.018773833333333323,40.22104916666667,22.520415
8,2024-08-25 11:00:00-04:00,250,Myron J. Francis Elementary,0.0516625,0.0009804999999999953,0.03071233333333334,40.21457083333333,21.12892
9,2024-08-25 12:00:00-04:00,250,Myron J. Francis Elementary,0.038575762711864414,0.014227118644067782,0.04655118644067796,38.360212881355935,22.435045593220337
10,2024-08-25 13:00:00-04:00,250,Myron J. Francis Elementary,0.02737050000000002,0.024204000000000003,0.059336666666666704,35.6541135,29.288774833333335
11,2024-08-25 14:00:00-04:00,250,Myron J. Francis Elementary,0.04366133333333333,0.009662500000000018,0.0368843333333333,38.44843733333333,23.794719833333332
12,2024-08-25 15:00:00-04:00,250,Myron J. Francis Elementary,0.032170833333333315,0.019208833333333286,0.05748150000000002,36.9887155,28.255871833333334
13,2024-08-25 16:00:00-04:00,250,Myron J. Francis Elementary,0.03064416666666664,0.02103216666666663,0.058110833333333334,35.87977516666667,31.232347833333332
14,2024-08-25 17:00:00-04:00,250,Myron J. Francis Elementary,0.042134499999999964,0.010562833333333355,0.03637366666666669,36.826478,26.133926
15,2024-08-25 18:00:00-04:00,250,Myron J. Francis Elementary,0.02949349999999995,0.020584333333333316,0.05684899999999998,35.642805,31.128771666666665
16,2024-08-25 19:00:00-04:00,250,Myron J. Francis Elementary,0.01872400000000002,0.0323113333333333,0.06746000000000002,29.067990833333333,49.703812166666665
17,2024-08-25 20:00:00-04:00,250,Myron J. Francis Elementary,0.022900166666666666,0.026542833333333293,0.05684216666666664,27.201829166666666,52.15563783333333
18,2024-08-25 21:00:00-04:00,250,Myron J. Francis Elementary,0.025063166666666692,0.02437450000000002,0.05150116666666671,26.47632683333333,54.329607833333334
19,2024-08-25 22:00:00-04:00,250,Myron J. Francis Elementary,0.025927833333333317,0.02305016666666665,0.048363500000000004,25.9510925,58.09520783333333
20,2024-08-25 23:00:00-04:00,250,Myron J. Francis Elementary,0.02864383333333337,0.01874383333333335,0.04657866666666666,26.003118166666667,55.4395805
21,2024-08-26 00:00:00-04:00,250,Myron J. Francis Elementary,0.030096500000000026,0.018592333333333322,0.044572,25.7895895,56.10463216666667
22,2024-08-26 01:00:00-04:00,250,Myron J. Francis Elementary,0.03122566666666665,0.018455166666666634,0.04226466666666667,25.668146333333333,55.86330233333334
23,2024-08-26 02:00:00-04:00,250,Myron J. Francis Elementary,0.030467333333333346,0.01750916666666663,0.04164216666666665,25.489658833333333,56.40535633333333
24,2024-08-26 03:00:00-04:00,250,Myron J. Francis Elementary,0.028793500000000027,0.018416666666666637,0.042226833333333325,24.429090833333333,60.1940005
25,2024-08-26 04:00:00-04:00,250,Myron J. Francis Elementary,0.027814833333333344,0.019848333333333357,0.04069199999999995,23.660029333333334,63.9876855
26,2024-08-26 05:00:00-04:00,250,Myron J. Francis Elementary,0.03377049999999998,0.023552166666666652,0.03537499999999999,23.501816833333333,65.7589055
27,2024-08-26 06:00:00-04:00,250,Myron J. Francis Elementary,0.034177999999999986,0.021606499999999973,0.03024933333333335,23.562699333333335,65.61612166666667
28,2024-08-26 07:00:00-04:00,250,Myron J. Francis Elementary,0.05051549999999999,0.020199833333333306,0.02865283333333335,25.57169366666667,58.790907
29,2024-08-26 08:00:00-04:00,250,Myron J. Francis Elementary,0.05312066666666665,5.633333333332491e-05,0.016409499999999966,31.138494166666668,42.668259166666665
30,2024-08-26 09:00:00-04:00,250,Myron J. Francis Elementary,0.05856916666666667,-0.005980166666666675,0.014542833333333338,34.9720445,34.965185
31,2024-08-26 10:00:00-04:00,250,Myron J. Francis Elementary,0.06293349999999998,-0.0050220000000000264,0.019569499999999962,38.28166983333333,29.149768333333334
32,2024-08-26 11:00:00-04:00,250,Myron J. Francis Elementary,0.05131600000000003,0.0029276666666666618,0.031561833333333345,38.620755833333334,28.027760666666666
33,2024-08-26 12:00:00-04:00,250,Myron J. Francis Elementary,0.03916440677966099,0.01794186440677964,0.04823644067796612,35.574564576271186,31.207064576271186
34,2024-08-26 13:00:00-04:00,250,Myron J. Francis Elementary,0.044928000000000023,0.009020666666666621,0.03830349999999999,37.455561833333334,26.8118375
35,2024-08-26 14:00:00-04:00,250,Myron J. Francis Elementary,0.027937999999999963,0.02374316666666665,0.05871350000000003,34.38332916666667,35.0359045
