,no2_ref
4083,1.4
7843,12.7
3941,1.5
7277,2.1
4731,7.0
1119,1.4
4684,5.7
3512,4.6
6511,3.5
5136,2.7
2728,2.7
6273,1.9
2170,2.3
4131,2.4
7012,8.6
4560,1.0
136,12.6
4229,1.5
6999,4.4
810,14.6
2577,1.5
2704,4.1
7667,22.2
6854,8.8
5086,1.6
6904,6.4
593,3.2
5232,15.4
7473,10.5
7490,10.9
6978,12.8
1485,6.5
442,5.6
6437,3.2
4093,1.4
141,6.0
5141,0.9
2928,6.2
5668,3.9
7549,9.6
1842,3.0
7107,17.8
922,6.8
5728,1.1
834,13.7
6145,13.8
6525,1.6
5184,2.8
5378,2.3
2377,1.3
8026,11.8
7028,7.1
2715,2.0
3373,1.9
4996,7.0
662,3.0
2824,1.2
1335,3.3
2045,1.5
7670,3.2
623,26.7
4396,0.8
2691,2.5
2826,6.2
7731,2.7
5563,7.0
52,17.5
8065,9.3
1140,23.6
1709,2.9
3772,1.5
6791,3.0
5671,5.8
6126,7.9
4793,1.9
5647,2.9
7000,3.7
674,9.8
7452,11.3
1212,2.2
5227,10.1
1989,0.9
7531,2.6
5094,2.6
4435,4.5
7913,7.7
970,8.3
2449,2.9
7325,1.9
4380,1.6
3734,2.8
4390,0.7
2537,1.7
6265,3.3
1724,1.6
5539,5.5
2401,3.7
3029,4.9
2335,2.8
6614,11.8
2686,2.4
2320,23.5
931,4.5
4815,4.5
4650,2.0
2161,1.6
951,4.8
5330,2.3
2319,16.2
1547,3.4
1129,10.5
8020,17.9
7169,6.0
6617,10.4
6377,7.4
2755,4.0
8178,2.1
7319,1.0
4730,8.1
933,6.5
3315,3.9
4424,3.8
3878,1.9
2489,1.8
2732,2.2
8059,14.4
6358,8.5
6087,1.7
3982,1.7
5430,9.3
5976,0.8
6244,1.0
2839,0.9
7789,24.0
1779,3.4
4108,1.9
2545,2.5
7245,12.5
69,19.3
4888,1.4
4143,3.4
3066,9.5
6933,5.3
7950,11.6
1128,8.7
6339,10.5
3197,5.9
3281,1.0
5935,0.7
749,16.1
3009,6.1
3877,2.8
5847,6.9
5099,2.5
6,9.8
6312,8.8
553,5.8
575,4.4
3807,2.4
1451,4.1
7155,11.6
2600,4.9
3414,3.8
5443,3.6
2503,2.7
3938,1.7
5305,0.7
5048,1.6
5135,2.2
404,34.7
3115,1.6
4251,1.0
2260,2.0
7998,15.3
7258,4.3
2626,2.1
4422,2.6
3706,1.6
7901,3.7
1868,3.0
3433,0.6
4806,1.4
6671,15.0
975,29.8
180,10.1
3608,11.8
130,13.7
4486,2.5
4535,1.0
5695,6.4
878,5.9
6008,7.8
8140,5.0
4393,0.9
1686,2.5
2899,11.2
6057,2.7
5985,6.6
3006,3.2
4324,3.5
1060,2.3
6069,3.6
7020,1.6
2627,2.2
6106,10.0
8013,16.0
5739,1.2
2025,6.0
5123,2.2
7522,14.4
2497,1.9
475,5.0
6002,0.9
3733,4.8
7498,6.3
4267,2.5
5153,7.6
1098,7.2
5572,3.2
2201,23.2
7650,27.1
894,3.2
1309,7.9
6345,12.0
6955,1.9
1298,7.4
6939,3.5
6510,2.4
1824,3.1
185,26.6
6080,2.7
681,28.2
389,14.2
4716,1.0
341,3.2
4008,2.1
6813,9.4
1086,7.3
4538,1.1
4438,2.5
2880,12.5
7541,6.2
7533,2.8
7410,2.2
4934,2.2
1083,9.8
5072,2.2
2351,1.3
3317,6.0
4348,4.8
4479,4.7
1906,27.3
1914,4.0
6364,2.4
5893,2.3
7847,8.3
2074,1.6
2365,1.8
7357,24.1
1772,32.9
871,2.5
5662,3.8
2066,26.8
7596,8.4
8125,7.7
1902,10.1
5189,1.8
7360,22.7
6561,1.3
6456,2.2
2129,4.0
6937,5.0
1388,3.3
722,6.7
1714,2.5
6054,4.3
7893,5.8
3699,8.0
3463,0.9
2185,1.0
3656,1.6
780,1.6
5966,0.8
3089,1.5
196,20.0
5528,3.0
6693,20.7
5686,1.9
7829,2.8
6745,1.3
3562,12.9
4623,7.6
961,0.9
2011,3.6
1786,12.7
3834,3.1
6378,4.0
5407,7.9
5631,3.7
5632,4.1
1425,6.4
4860,1.0
1411,2.9
6337,8.5
3384,7.8
2427,4.4
3248,5.3
7355,27.2
7701,1.1
2432,2.5
2485,2.7
1054,20.0
5821,1.3
3133,1.5
2863,2.0
116,5.9
5449,3.2
4434,2.5
944,2.1
3838,4.6
2020,15.4
4368,2.7
4417,2.0
5271,0.9
7308,14.0
1281,2.7
6863,6.9
5032,1.3
2060,2.1
4645,4.4
2864,2.1
458,9.4
6696,21.6
6264,4.6
132,18.4
4076,2.0
3951,0.8
3876,4.3
4454,3.2
1385,4.4
2322,8.5
8095,4.0
3663,2.2
6020,6.0
607,7.6
4212,1.6
8098,5.4
5971,1.7
6210,3.0
6792,3.7
2444,2.8
1419,2.3
1585,1.7
7520,12.7
5096,1.5
1900,4.6
6397,10.4
4659,5.7
486,6.3
4272,2.3
6274,1.6
4679,4.5
1490,1.3
7253,9.6
1145,6.5
2855,18.7
4614,6.4
7582,9.0
5022,3.6
4266,3.0
5207,6.8
7354,31.3
5576,1.7
188,24.5
6851,7.6
3648,1.7
4828,3.3
1466,18.2
6376,5.8
2456,4.5
46,19.1
4804,1.5
7540,3.9
4001,3.7
5357,2.4
3484,1.5
3101,3.1
1619,12.5
3651,1.3
7964,4.7
3054,1.1
191,31.5
6162,4.8
682,23.8
6984,20.1
3985,1.3
3835,3.5
2521,1.1
1757,5.5
3545,7.8
8177,3.0
2921,13.6
1226,4.3
388,11.6
4858,0.8
3280,0.9
1869,2.4
6412,0.6
2599,4.0
8034,1.4
4492,1.9
7330,2.2
2754,3.2
6947,2.9
6945,5.3
7396,11.2
1941,3.0
2920,11.9
1448,1.4
6409,0.8
2961,1.6
1717,3.2
3213,1.8
1536,2.9
1407,3.3
2712,1.9
7900,3.4
484,5.0
4644,4.5
1887,3.4
4977,2.1
4505,5.8
3099,2.5
2504,2.7
1820,4.5
6562,1.2
5801,1.8
1112,2.8
7976,27.6
7,7.1
1274,4.1
268,9.3
2159,2.2
7630,24.8
7184,4.7
7003,8.5
2305,1.6
224,1.8
19,7.6
1576,13.0
2362,2.5
2657,1.0
6296,4.7
898,1.9
2323,7.4
2829,4.6
501,4.5
2737,2.3
4600,4.1
4166,5.8
559,9.2
6307,15.7
387,12.8
482,4.0
7634,28.1
7750,16.3
1812,4.4
3161,1.0
6429,2.6
1006,5.3
896,2.6
4584,2.2
3299,5.3
6887,9.3
1952,23.8
2968,1.1
7816,23.4
7645,7.4
6779,2.2
4941,1.2
1359,10.9
7617,13.3
1524,2.8
50,18.7
7687,6.4
2000,16.6
1310,9.4
2650,1.1
1469,1.5
1799,8.2
6526,2.0
7149,24.0
1089,4.2
1512,2.5
2886,0.9
1506,3.4
8033,1.1
2257,2.7
6088,1.6
3527,2.1
7712,5.1
4432,1.9
5302,1.0
1755,4.5
2461,1.3
1598,3.9
7507,6.8
1554,2.5
1972,3.5
5543,8.0
6935,8.7
45,19.6
5306,0.7
6701,17.2
193,29.2
1117,2.5
1077,2.5
1380,5.2
3140,1.3
6466,8.1
4554,1.9
396,36.7
4099,1.5
262,19.6
2296,9.5
6868,6.4
7290,3.4
7935,3.7
1663,2.6
524,8.0
4073,1.9
4742,2.5
5994,11.3
7837,22.6
1402,8.5
5194,1.5
1823,3.3
5818,2.1
3436,0.7
743,20.7
1819,5.9
4104,1.4
3557,5.0
2311,6.9
6190,5.8
7176,2.4
1908,34.7
5571,3.8
2073,1.6
2853,9.1
2766,2.9
432,6.0
6755,5.0
5519,8.4
5448,5.1
4400,2.5
3487,7.2
4464,1.9
6434,3.2
6648,11.6
5517,6.0
3925,4.1
1000,11.9
7465,15.4
4089,1.3
6849,6.5
5343,3.5
4080,1.6
7916,6.5
5656,4.9
5236,1.7
2204,25.8
5652,2.4
3640,2.5
666,4.7
4579,3.9
4956,5.9
5684,2.6
6578,0.9
504,6.3
1120,1.2
6001,0.8
7641,31.3
451,6.5
7088,18.9
6198,2.0
5026,2.6
4622,7.6
5597,1.5
1839,4.6
1147,5.6
3710,3.4
6135,6.8
3792,6.5
4630,2.0
6731,1.7
3893,1.1
6319,17.3
1210,5.7
6388,1.7
5933,0.5
4581,3.0
5186,2.8
4810,3.3
3472,1.9
7082,8.3
5813,1.6
5808,1.8
1676,1.3
7714,3.7
4397,2.3
2451,3.2
3072,1.3
1452,3.9
1333,5.5
7607,12.9
49,18.4
1659,2.6
3843,1.1
7657,22.7
4113,2.8
4897,1.5
4713,1.4
4028,2.4
1737,19.6
3104,4.6
6196,1.7
5907,0.7
6448,6.6
1162,19.3
1178,4.3
599,3.8
1580,11.6
3758,1.1
6186,2.2
5394,1.1
1701,1.6
3568,5.9
3533,2.0
7930,4.4
6834,16.6
2903,18.8
6187,3.1
3975,1.4
5951,1.6
5518,7.5
4186,2.8
4717,1.3
1579,18.7
6861,12.0
6635,3.6
6086,2.4
3914,2.2
8009,8.0
1722,2.1
1225,5.0
600,3.0
315,3.4
7267,2.6
5176,2.0
7144,8.8
496,4.5
2242,13.0
4319,4.9
3039,2.1
2978,0.7
586,2.7
5865,1.2
4964,2.2
6348,2.9
1001,8.2
5308,0.8
6234,1.4
4790,2.7
6563,1.3
2598,5.1
2210,1.3
4022,6.4
8053,17.3
4947,8.1
5822,1.2
5013,2.8
7485,12.7
5726,1.9
177,7.8
7385,5.2
6380,4.7
7727,1.5
3113,1.6
1991,1.6
7098,5.5
3318,5.0
5983,3.0
146,23.1
732,3.5
4763,2.0
5179,2.7
1202,4.9
663,2.6
2870,2.0
8030,2.6
6269,8.5
6118,4.5
4343,5.3
1421,2.5
935,12.5
1393,4.7
2787,12.5
1794,34.0
5400,3.0
6017,10.9
2259,2.2
90,8.4
2479,10.5
385,4.8
4338,1.8
3117,1.1
8061,11.2
4009,2.0
2617,13.2
6558,1.5
5960,1.3
7885,7.3
8149,2.3
4017,3.4
3300,4.0
2163,1.1
996,20.7
514,10.7
4213,2.0
6749,1.4
1693,1.8
6624,6.5
5391,1.0
5038,1.7
659,16.1
1251,24.1
382,4.1
2635,2.0
712,3.5
8017,17.7
167,2.7
6324,3.0
3073,1.4
1501,3.3
7591,7.8
7419,5.8
1998,25.8
4263,6.1
7626,6.0
3673,3.9
1422,2.4
316,3.4
1658,2.5
1199,8.3
266,14.8
7927,11.0
1527,2.6
4443,1.3
1561,2.2
7500,8.3
7090,12.5
4268,2.1
3437,0.8
7875,1.5
6490,8.2
5506,3.0
3957,2.3
6098,8.9
2614,8.7
2823,0.7
4898,2.0
6820,2.4
7783,1.9
7848,3.3
3905,3.0
5488,2.8
7336,9.6
6835,15.8
1169,2.9
7469,17.1
4656,2.0
3292,4.8
4244,1.5
7810,23.5
7372,6.2
578,4.7
1073,13.7
4240,1.8
3367,4.7
380,10.9
3309,3.0
531,3.4
3420,1.6
1324,11.7
2661,1.6
1326,3.1
6786,5.3
1600,2.6
560,9.4
3259,0.8
3092,1.6
5525,10.2
6401,2.9
6550,4.6
7040,9.5
1418,5.8
2263,7.2
3261,1.2
4746,4.8
2615,9.8
7471,12.3
2596,10.4
1192,3.2
678,28.1
4224,1.4
2793,1.1
652,21.0
3542,5.3
2625,2.1
565,24.9
1190,4.0
4726,5.6
7004,10.6
3065,9.7
7642,29.6
5828,1.7
1141,14.1
117,4.9
7423,2.3
1741,23.8
6326,2.9
5868,2.0
1436,1.6
5708,2.0
7224,11.7
5986,7.3
2797,0.6
4483,4.8
6568,2.3
3154,8.0
2912,1.4
3756,0.9
7694,2.6
4360,2.1
1367,12.8
2985,1.3
4201,1.1
233,10.7
1945,14.6
4045,3.5
3801,1.7
5812,1.7
1609,4.5
3907,1.9
4796,2.3
1667,0.7
3196,7.2
251,7.7
6400,4.4
6948,2.1
3808,2.5
5616,2.6
4026,5.7
4147,2.2
985,9.1
568,19.3
1127,8.8
4197,2.2
4049,4.6
5440,2.4
5373,2.3
6899,17.1
1966,2.4
7415,2.5
4606,1.6
8117,5.2
6404,2.4
6105,8.0
1740,29.5
5704,3.0
2616,10.1
1283,3.1
4234,1.3
3540,4.2
1928,2.5
3186,1.4
5573,2.3
1612,4.8
5000,2.4
5223,6.8
630,22.3
811,21.9
2367,1.5
4785,3.0
4321,7.2
6500,15.0
6817,14.5
7578,5.2
2636,1.9
7749,15.6
588,8.4
1396,12.1
1104,2.3
517,8.6
4848,1.8
527,13.2
7450,13.1
3534,2.0
1362,15.3
100,3.2
6516,1.5
3691,1.6
1130,12.2
2742,0.9
573,6.9
2439,1.5
1201,6.3
2055,0.7
4991,1.7
7788,29.3
4377,1.6
4970,3.3
4588,4.1
6374,5.3
4444,1.3
6327,3.3
1030,5.5
5465,2.6
2293,7.4
7851,5.2
5361,2.5
5219,3.3
3482,1.3
5337,4.0
5036,1.3
3737,2.7
7017,6.8
2384,1.7
290,4.6
1032,2.7
4084,1.7
5561,6.5
7411,2.3
4936,1.9
2687,5.9
5502,10.7
3661,2.8
5052,2.5
4515,1.6
5299,1.9
4857,1.0
368,4.2
4959,4.1
3525,1.9
5579,1.9
912,26.5
5158,11.1
5313,2.1
7320,1.3
2059,1.2
492,3.2
3351,3.0
2623,1.9
1844,2.1
3427,0.9
7254,5.1
3531,1.9
4126,4.0
6759,7.1
6382,5.7
7229,3.3
340,2.2
6072,3.2
2340,2.8
36,3.8
5598,1.6
7908,4.6
1570,2.7
5220,5.0
2543,4.3
218,13.8
6418,2.6
3692,3.5
3034,11.5
4631,2.1
3438,0.9
5848,9.3
6146,11.4
7420,2.9
5454,5.8
3768,2.5
5602,1.2
5879,8.6
1781,2.8
4421,2.2
3043,1.6
2973,1.3
2276,2.0
2563,6.1
574,4.9
601,2.7
1792,26.5
8024,14.0
3365,6.0
4636,4.2
2547,2.0
3958,2.5
6848,5.6
2979,0.8
6878,18.1
1637,1.8
3237,0.7
70,19.4
1222,5.9
4282,1.4
2708,5.4
6647,11.8
7804,5.0
1312,14.7
528,8.9
6059,3.2
2272,3.9
2069,37.1
6527,1.5
8108,5.4
7313,17.7
5263,2.3
4046,3.7
78,13.6
3366,5.4
366,4.4
6764,7.8
4712,1.4
4060,3.2
5540,5.6
1915,2.8
5469,9.1
4953,7.2
5462,1.6
5973,1.3
1027,6.3
4894,1.1
1690,1.3
6909,10.0
861,5.3
5942,0.7
7102,12.0
8005,18.7
5637,2.0
6915,9.0
5497,6.1
5025,2.5
7365,11.1
59,17.6
4051,4.5
6862,10.2
5071,2.6
2524,1.1
3995,3.0
5319,1.1
7250,25.9
4534,1.2
3432,0.6
2750,1.4
8007,16.0
3635,4.8
4256,2.9
6474,5.3
7625,4.0
5771,1.5
8082,20.9
7958,16.1
165,2.6
1379,4.5
3473,3.3
2321,16.7
4873,3.5
900,5.7
500,5.0
3051,0.8
4103,1.9
4467,1.6
7197,8.9
2090,5.5
7987,2.4
384,4.1
4276,1.5
212,11.3
4231,1.1
7793,25.7
2959,0.9
4692,1.4
2429,4.3
5775,2.2
4808,1.6
93,5.2
4398,2.2
7039,7.1
149,5.9
5996,4.8
909,32.1
265,21.3
3818,2.0
997,20.3
1532,3.8
4757,3.3
5035,1.1
6530,2.4
7941,3.0
3026,3.9
7543,6.1
2446,3.6
2559,2.8
6676,14.7
851,6.0
1186,7.0
6178,6.2
5409,4.7
5549,12.4
4649,2.5
5424,8.8
1837,2.3
5520,6.6
3675,2.9
65,22.9
1040,13.3
5205,5.2
4937,1.5
8019,19.5
4954,6.6
4718,1.4
6967,3.8
4148,1.9
6689,11.5
2965,5.5
2122,2.4
7237,11.0
1102,2.6
4782,2.6
2373,1.2
3759,1.5
5589,1.3
3469,1.0
6557,1.5
3395,2.1
7276,2.3
5113,4.2
6043,3.4
8058,18.6
41,12.1
6520,12.3
3474,4.0
5144,0.9
4072,2.4
4680,4.9
1441,1.5
1938,4.1
7877,2.7
537,2.4
5159,16.8
3491,7.6
1597,4.8
383,3.4
4791,3.5
5491,4.2
454,8.3
7059,22.1
5229,9.6
786,1.5
7866,0.7
2314,8.2
171,3.5
3642,1.7
7805,4.6
3254,1.5
5119,0.9
30,20.4
3960,2.1
7236,6.5
2532,2.2
3529,3.4
1533,4.4
2269,6.3
4227,2.1
6485,9.2
5331,1.6
7092,6.2
5871,6.8
5917,0.4
1642,7.1
8152,3.2
5057,1.2
3771,2.5
5198,6.3
701,4.4
3517,4.0
6295,8.5
1368,10.9
3856,1.1
2304,2.1
5054,6.4
6256,1.4
8121,7.2
3874,3.3
7654,23.7
7484,10.3
6130,7.3
4911,5.1
2211,2.0
5898,1.4
2188,1.0
1064,5.1
3796,1.8
6997,8.9
3158,1.0
609,15.9
1041,28.7
6514,4.7
1703,1.6
3910,3.3
1874,2.6
1360,13.7
66,20.1
3166,1.4
1094,6.4
2145,6.2
4783,2.1
6744,1.3
2725,5.6
8031,1.7
2745,1.2
4195,2.8
10,1.2
785,1.8
7297,1.8
398,38.7
7692,2.4
1718,4.2
579,2.9
6249,1.1
416,5.6
3897,1.2
3585,6.1
8176,2.2
3481,1.6
1307,8.0
5015,4.4
6405,2.6
3974,1.1
8086,8.1
7309,5.3
5450,4.7
4779,3.2
3616,5.3
447,5.0
706,5.3
8068,17.6
7015,10.2
2677,1.1
6270,6.6
917,26.1
781,1.7
4184,3.3
1511,4.6
6930,6.9
7162,3.8
8131,13.8
4952,7.5
4429,2.2
6213,1.7
1371,17.0
6239,1.2
5578,1.9
5794,4.0
1558,5.4
1031,3.7
1342,2.9
5738,1.2
2930,1.3
2935,1.5
2105,2.0
4518,1.5
2911,1.6
7242,12.5
6956,1.7
2925,16.6
2592,3.7
7418,7.8
3219,1.7
1807,4.1
2407,9.2
5523,7.6
4285,2.0
4928,1.4
2220,6.6
6413,0.7
4502,4.1
1593,4.5
6599,2.0
5259,1.7
6788,6.2
5117,1.1
3285,1.5
12,1.2
2495,2.2
42,20.7
2874,5.6
6173,3.8
2701,3.0
4904,2.6
6357,11.8
6911,1.9
2588,1.6
6683,18.7
5429,8.4
3669,2.5
3458,0.7
3020,5.6
2602,8.0
3187,1.4
3526,2.0
787,1.7
6290,10.8
4200,1.2
434,9.2
4088,1.4
6138,4.2
1440,1.5
4777,3.1
918,12.4
5130,6.8
3752,0.9
1424,4.8
474,5.0
1542,1.7
6272,3.4
4134,2.0
1834,8.3
2390,2.7
6923,2.8
5106,3.9
634,6.5
1465,31.2
5056,1.4
2569,2.0
6442,6.2
5315,2.3
5452,4.5
798,1.9
5273,4.0
6091,1.6
33,9.0
187,24.5
6890,2.9
6201,1.9
6426,4.6
4297,8.8
3854,1.0
988,3.7
4780,2.6
4494,2.6
1602,3.2
5027,2.6
6673,20.5
7439,3.6
3622,3.4
2267,6.7
1471,1.2
2392,2.6
1151,4.6
3684,6.5
6044,2.5
8088,9.8
216,8.3
1369,18.6
7401,3.3
6427,5.2
95,3.4
1810,3.6
6206,1.3
5172,5.1
5961,0.9
436,16.5
5667,2.8
6821,1.7
3812,1.6
7655,24.8
6363,4.4
7801,6.4
2478,11.0
628,25.3
4459,2.2
6606,7.1
4702,3.8
2189,0.9
4207,1.4
2187,1.0
5083,1.6
2232,1.3
7193,2.2
8104,2.6
4635,2.9
2233,1.8
927,12.7
2350,2.3
7717,2.2
7359,24.9
4333,2.2
5124,3.2
407,3.7
5747,1.4
7252,14.1
4403,1.0
1582,2.3
4687,1.1
6141,10.7
2873,4.5
8004,22.5
6193,1.8
4527,2.7
1873,2.0
3321,0.7
6073,3.3
5043,1.2
6992,14.4
3869,2.6
953,4.4
4191,1.9
1616,6.8
3802,1.3
5163,2.2
494,3.4
6880,20.3
6205,1.6
5277,2.6
1268,2.4
908,27.0
6188,3.1
6449,8.3
2913,1.5
640,3.4
4378,1.9
5565,8.1
6033,8.1
5614,3.4
4325,2.7
2852,4.4
850,4.7
627,28.3
5422,6.5
3400,2.5
4867,1.9
1560,2.3
6995,21.0
6546,1.5
3554,3.1
4590,4.3
7761,3.7
205,5.8
1956,27.8
2252,24.5
1012,4.1
8167,1.7
1426,5.2
1091,4.8
4314,5.8
3811,1.1
7796,31.6
3335,1.8
6107,4.7
6529,1.9
2746,1.7
6949,2.8
4966,2.2
1885,7.2
81,11.5
376,7.8
63,8.0
3968,1.8
5756,1.0
7756,21.3
5457,5.8
576,3.4
7681,16.1
6961,3.9
2570,2.3
7080,7.2
1623,5.8
7888,9.5
5245,2.9
832,9.3
7244,15.1
5401,3.7
6023,1.0
3194,4.8
5638,2.4
2507,2.0
395,32.1
443,3.8
2038,5.6
751,23.7
4792,3.3
2859,2.1
622,29.9
5697,4.2
6742,1.1
1516,1.9
6523,2.3
2819,0.6
8153,2.6
4540,1.2
2795,0.6
7855,6.9
3097,2.1
1540,1.4
7892,11.3
4756,5.2
4248,1.0
6047,3.4
6494,10.8
1008,8.0
489,5.8
1932,8.8
868,5.2
2180,11.4
7585,18.3
2212,2.1
1420,2.4
2568,1.8
2282,1.1
1303,8.0
1732,5.7
6958,2.1
5693,5.2
465,5.9
6898,13.6
6352,10.3
323,3.2
6928,6.1
4519,1.8
5274,2.7
7166,3.8
626,27.3
5146,1.1
6454,2.3
3582,9.6
1390,3.5
4271,2.1
6419,2.7
1684,3.7
5947,2.0
7101,10.4
2318,15.3
4249,1.2
7872,1.8
6465,7.7
6108,4.4
5322,1.8
1114,3.3
3047,1.0
3701,6.4
3898,1.3
6618,6.5
6663,22.0
1208,14.7
672,7.0
2942,5.5
4539,1.0
3558,3.4
4254,1.4
3108,3.1
281,1.9
3521,4.4
3247,5.5
6628,14.2
7481,8.8
175,3.4
2585,1.9
7592,8.8
4228,1.8
6184,1.9
5009,1.1
1758,9.9
6602,4.2
1951,18.4
2236,4.4
162,5.1
4884,1.3
5665,2.3
6929,5.4
7013,8.3
3599,1.3
4238,1.3
3880,1.3
1864,4.3
7931,4.6
3694,12.5
4356,2.7
2986,2.2
1543,2.0
47,18.0
3913,2.0
1020,16.2
3418,2.8
5287,2.9
948,1.8
5008,0.9
1279,2.7
229,22.3
7710,2.6
7751,18.5
7510,7.3
3566,9.7
303,2.2
6504,1.9
178,7.6
7334,5.9
4707,3.6
1049,27.6
4437,2.4
5442,3.2
3524,2.1
4521,1.4
4000,2.7
702,6.1
4047,3.0
813,17.7
4621,3.2
2331,3.5
8107,5.5
1632,1.1
7923,5.6
6181,5.3
5109,4.9
476,5.7
3226,3.0
5569,3.9
4642,4.6
1013,4.5
441,4.7
2667,2.0
7443,20.2
3881,1.7
5923,0.3
3677,4.2
6616,9.6
5800,1.7
658,19.6
7271,2.4
603,2.5
5286,0.8
403,35.6
3645,1.0
4039,4.1
2582,1.7
3543,5.3
2749,1.8
8175,1.8
8166,1.9
1604,2.6
6630,6.9
4950,4.4
5034,1.0
4498,3.9
5683,3.6
4580,3.2
1097,6.4
736,3.3
4753,10.9
3422,0.8
1911,6.2
1800,9.2
5461,1.5
6277,3.9
4063,4.5
2843,1.8
5615,4.8
3478,1.7
4480,4.6
2624,2.3
4878,1.7
6753,6.2
2343,2.9
8044,15.7
6200,2.1
2648,0.8
549,3.4
1674,1.7
5376,2.7
5276,2.3
6250,0.8
6112,2.1
1594,4.3
6556,1.5
1445,2.2
6946,3.3
2289,15.5
2398,2.6
7289,2.7
1463,28.8
1535,4.0
5623,0.8
3330,0.5
4809,3.2
3114,1.7
3590,4.9
3096,1.5
825,3.6
7532,2.7
7778,3.0
1019,21.0
7182,5.5
6076,4.6
4893,1.0
888,13.4
1065,7.1
4216,2.0
4734,2.0
942,1.8
7571,8.1
7477,26.2
5914,0.5
5226,9.3
4610,2.1
5441,2.8
7461,7.1
2312,8.7
7781,1.9
72,18.0
2665,1.8
6968,4.0
1416,15.0
3291,7.6
3795,1.2
643,10.8
2171,2.8
1293,10.0
8181,3.0
1137,16.2
1787,14.5
7959,17.9
2531,1.8
2029,3.8
4102,1.7
2438,1.5
79,11.9
7838,26.7
7529,3.2
201,3.5
7668,3.0
4470,2.2
5347,2.4
1132,14.5
446,5.7
3402,4.7
2858,2.8
2395,2.6
3993,2.7
87,18.9
6941,2.5
6182,5.0
3353,1.6
4098,3.4
2542,3.2
3549,2.6
8163,2.9
5115,2.5
255,7.1
2125,2.3
3681,8.8
1529,2.8
1523,2.2
4821,1.6
2496,2.4
5268,1.3
300,3.0
3409,4.9
3901,1.8
3385,7.6
577,3.6
2752,2.5
958,2.4
4598,5.7
2906,7.0
2493,2.7
3102,3.8
8060,14.8
4387,0.6
3672,4.3
6252,1.0
1760,12.0
2923,12.0
4892,1.7
6682,16.0
5383,1.7
2637,2.3
7482,8.5
2135,5.6
5969,1.9
4625,5.1
1855,19.6
7300,1.3
6881,21.6
2037,5.6
3327,0.5
7138,20.0
1961,2.8
5889,3.0
7348,27.2
650,30.4
5369,3.4
5744,1.1
131,16.4
6443,6.6
3904,2.6
6579,1.0
3551,3.0
3383,8.3
3329,0.5
5780,1.8
3518,4.1
2981,0.7
7501,12.7
1633,1.1
4899,2.7
2251,30.8
3978,1.7
4689,1.7
199,5.0
2527,1.3
7141,5.7
147,18.1
5701,8.1
6727,1.8
3782,1.5
2334,3.6
5839,5.6
6491,11.0
5001,2.9
6082,3.8
2792,1.7
2098,2.0
356,5.0
3302,3.4
1782,3.5
7413,2.2
7554,4.1
7140,5.7
7368,2.5
5859,11.6
4092,1.4
140,6.9
4253,1.3
330,2.6
7356,23.8
7265,3.5
3665,2.1
4582,2.9
7495,5.0
774,1.7
4638,4.8
5955,1.6
6845,4.0
6721,1.9
6588,3.4
3168,1.9
282,1.6
6951,2.3
5850,4.0
5807,3.7
71,19.6
8150,2.5
3055,1.4
364,4.9
2480,7.0
620,15.7
7044,1.8
8083,19.5
7151,25.7
606,4.2
6428,3.1
7026,1.6
5967,1.0
3430,0.7
3396,2.1
481,2.8
4446,1.9
2184,1.2
115,7.3
1595,5.4
3021,2.8
4388,1.1
3609,9.8
1315,7.2
1435,2.5
8128,10.6
7315,6.9
3921,2.3
2476,7.6
7547,8.0
5473,11.1
2345,2.9
480,2.5
3203,12.2
1220,3.9
6802,6.0
5872,6.3
6458,2.1
4863,1.9
1646,9.2
638,3.3
5020,5.1
1183,3.5
5831,2.1
7163,2.5
3412,3.1
5591,1.9
7854,4.3
3408,6.9
7231,2.7
2948,3.4
7581,7.9
5152,6.2
1270,4.0
1087,6.0
6040,11.8
1376,3.1
3319,2.3
4658,3.0
3867,3.2
4336,1.6
3736,2.6
2685,1.6
6328,3.6
6046,3.2
4671,2.0
2515,1.6
966,1.0
6007,4.8
2703,4.0
5562,6.8
691,14.5
5224,7.4
2922,7.9
3601,1.8
7711,4.0
4304,2.9
6311,10.5
1408,3.2
5359,2.3
4543,3.9
8055,23.8
3829,1.1
1993,3.3
4287,3.9
6656,11.2
5321,1.9
1007,9.8
5281,1.1
7818,20.9
1845,2.0
7743,22.8
5116,1.5
2405,5.7
7038,5.0
5718,3.9
5964,1.3
6432,1.3
7963,6.6
2893,6.2
3556,4.0
5679,5.1
6094,3.8
5069,3.4
1263,1.7
3119,1.2
4799,2.7
197,7.9
2838,2.6
4633,2.4
1299,8.5
4090,2.1
6858,17.0
2607,2.9
6519,8.1
5546,7.4
3702,4.9
844,26.8
8085,8.0
2409,6.7
2591,3.4
2004,9.9
105,5.1
7577,3.8
2274,6.3
6340,9.1
3745,1.5
4733,2.4
5716,4.9
4948,6.3
2317,11.5
4339,2.1
2286,1.9
5993,10.5
982,21.9
7730,1.9
4709,1.7
7497,4.8
6243,0.8
7699,1.3
5,6.8
7984,6.5
7896,2.4
3401,3.5
4394,1.0
6371,7.1
1234,4.9
2488,1.7
2875,6.3
673,9.2
4340,1.9
5551,13.5
2275,3.9
2523,0.9
7716,2.1
2651,1.1
7858,1.9
2530,1.9
564,16.8
4676,1.3
1999,17.2
2892,4.7
3842,1.5
