,no2_ref
7844,13.2
2114,1.6
6140,6.8
915,33.6
3126,1.5
6063,3.8
8010,10.9
1856,19.2
4895,1.0
5849,7.9
8099,8.3
1247,12.6
2932,1.4
4167,5.1
7544,7.0
73,16.2
3696,4.2
919,8.1
1559,3.7
4139,2.1
7196,5.3
6612,11.3
128,14.7
1245,10.2
3652,0.8
2470,4.1
6892,3.9
2172,2.8
6115,2.5
5145,0.9
5363,2.2
671,9.4
7061,16.0
466,5.4
3934,3.0
4150,1.8
617,3.2
3797,2.2
2065,7.3
6402,2.7
891,8.9
4342,3.9
354,3.8
1826,7.9
7456,30.9
6207,2.1
6143,14.3
5806,3.4
1996,4.5
6403,2.6
4303,3.8
3723,3.3
3676,3.5
1159,5.0
7316,1.5
3391,7.9
4530,2.0
295,9.1
2946,4.8
2554,3.2
3620,3.2
7048,1.5
1631,1.2
7613,8.9
1138,18.2
1423,2.6
7065,13.8
7018,5.4
2610,4.4
7073,9.7
308,2.5
2437,2.1
994,12.6
145,21.9
3713,4.1
7873,1.5
5581,2.5
2175,3.9
1806,3.8
3849,0.9
1016,7.4
2882,1.9
3891,1.5
2781,7.5
1053,29.7
2699,3.1
1569,3.5
2042,1.7
2918,5.9
4027,3.5
7983,14.5
3871,2.2
3822,0.7
6966,6.5
5664,2.5
3775,1.5
6636,4.7
1665,1.2
7408,6.7
2099,2.3
4628,1.6
2216,1.4
4916,2.9
4974,2.0
1366,15.6
2207,1.4
269,12.1
7437,1.8
1090,4.9
3862,4.6
1504,2.3
842,35.3
7378,1.2
5121,1.1
1318,5.0
5734,2.4
478,4.2
3674,2.4
5946,1.6
230,18.3
7307,10.3
3357,2.3
6493,10.5
3613,4.6
7564,3.9
818,15.8
5526,8.4
6672,16.1
3564,8.1
7113,20.4
7747,22.9
1700,1.5
4054,1.7
3074,1.7
6569,1.1
8142,5.3
8000,27.2
2716,2.2
769,8.8
1935,5.8
7436,1.6
5267,1.4
8101,5.8
2183,1.1
2567,2.0
357,5.1
25,24.2
4337,1.9
6061,4.3
1498,2.3
5690,3.6
7511,8.5
6065,3.3
5890,2.9
3804,1.4
3989,1.3
7741,10.8
4059,2.2
7720,2.6
2818,0.8
6631,3.3
4900,4.0
5329,1.9
7262,4.5
865,7.2
1330,2.6
967,1.2
3081,3.5
8008,9.7
5560,4.9
3966,1.3
3735,2.1
2790,2.8
6366,1.7
3301,3.6
5197,7.2
4703,3.3
3946,1.5
873,7.9
1519,2.4
5447,5.0
3233,1.0
6333,10.7
2357,2.7
4156,3.4
3413,4.0
7763,6.0
5646,1.2
3136,1.3
3363,2.3
1746,5.4
7673,5.3
4031,1.8
325,2.7
3310,3.7
6137,5.6
3287,3.2
557,15.1
1860,28.0
5816,3.4
6422,1.7
5266,1.2
148,8.3
7206,8.9
125,10.7
1438,1.3
6092,1.8
4723,6.0
239,8.8
566,24.6
6258,3.2
2976,0.6
6760,8.4
5414,1.0
4497,3.0
6227,0.9
7570,5.7
5687,2.1
2130,3.5
4075,1.7
1472,1.1
4699,3.0
8116,4.4
5599,1.2
7341,2.1
3159,1.1
6988,16.4
6084,3.4
3624,2.4
5294,3.3
3819,1.5
3983,1.7
7824,3.7
2768,2.0
5066,0.8
2036,4.9
7912,5.8
5603,1.5
4260,1.5
7347,6.9
1880,4.9
1352,4.6
4070,3.2
7821,27.5
2477,7.2
5844,1.2
7514,20.1
7705,0.7
2883,1.1
8148,1.9
4409,2.9
3899,1.8
3013,4.1
2255,2.6
7568,3.3
5200,2.6
1347,9.5
1015,5.0
3751,1.0
2662,1.5
7404,3.3
7943,2.0
7990,9.4
5058,2.3
2549,2.2
5650,2.4
4050,5.0
5835,2.1
3727,6.3
2969,0.8
6101,9.2
1517,2.2
4896,1.1
1443,2.1
5105,2.3
5802,1.8
4500,4.2
8039,26.7
5102,1.7
1815,3.7
7434,2.4
2788,14.3
4825,0.9
5648,3.3
7565,2.9
3693,8.4
6134,9.4
4918,3.6
6867,7.5
5371,3.4
7311,14.2
6263,4.0
2160,1.7
2044,1.6
7997,10.4
2271,5.3
6097,6.4
3544,7.7
4401,1.8
4056,2.2
437,14.1
5372,3.9
1777,3.7
644,11.9
4257,2.1
2784,11.2
8056,17.4
2168,1.6
4490,1.4
1847,2.6
309,2.6
3386,8.0
955,1.2
7168,6.9
6215,1.4
8168,1.8
7146,22.6
4586,3.1
2310,6.4
3286,2.0
4331,1.9
597,4.6
344,3.2
788,1.7
1428,4.6
4384,1.0
2261,5.5
6158,3.3
4172,3.2
5511,2.4
1526,2.8
225,2.1
6783,2.0
3278,1.9
5396,1.0
6469,7.5
2540,1.6
1742,10.3
1105,3.1
3178,10.0
7384,7.2
6800,14.4
5522,8.1
3423,0.8
7159,7.8
5433,9.8
3165,1.2
1103,2.8
3502,3.7
3720,6.3
2051,1.0
122,8.5
2738,4.1
1409,3.2
6452,12.0
3192,3.5
433,8.0
1170,3.7
2249,17.9
245,6.8
2014,4.6
3493,5.0
1055,8.5
6643,6.3
1264,2.0
4420,1.8
5018,4.7
6496,10.2
6871,15.8
7074,12.5
2121,2.1
5333,2.0
886,10.7
7296,2.0
6505,1.5
3489,7.8
2557,2.2
6748,1.1
4608,1.4
3927,1.2
1289,8.8
6893,4.4
2364,1.6
4279,1.4
7025,1.0
